,ISO3,Country/Region
0,ARG,Argentina
80,AUS,Australia
160,AUT,Austria
240,BEL,Belgium
320,BRA,Brazil
400,CAN,Canada
480,CHE,Switzerland
560,CHL,Chile
640,CHN,China
720,CZE,Czechia
800,DEU,Germany
880,DNK,Denmark
960,ECU,Ecuador
1040,ESP,Spain
1120,EST,Estonia
1200,FIN,Finland
1280,FRA,France
1360,GBR,United Kingdom
1440,HUN,Hungary
1520,IND,India
1600,IRL,Ireland
1680,IRN,Iran
1760,ISR,Israel
1840,ITA,Italy
1920,JPN,Japan
2000,KOR,"Korea, South"
2080,LTU,Lithuania
2160,LVA,Latvia
2240,MEX,Mexico
2320,MYS,Malaysia
2400,NLD,Netherlands
2480,NOR,Norway
2560,NZL,New Zealand
2640,POL,Poland
2720,PRT,Portugal
2800,RUS,Russia
2880,SGP,Singapore
2960,SVK,Slovakia
3040,SWE,Sweden
3120,TUR,Turkey
3200,USA,US
3280,ZAF,South Africa
3360,ATG,Antigua and Barbuda
3440,DZA,Algeria
3520,AZE,Azerbaijan
3600,ALB,Albania
3680,ARM,Armenia
3760,AGO,Angola
3840,BHR,Bahrain
3920,BRB,Barbados
4000,BHS,"Bahamas, The"
4061,BGD,Bangladesh
4141,BIH,Bosnia and Herzegovina
4221,BOL,Bolivia
4301,BEN,Benin
4381,BGR,Bulgaria
4461,BRN,Brunei
4541,KHM,Cambodia
4621,LKA,Sri Lanka
4701,COG,Congo (Brazzaville)
4781,COD,Congo (Kinshasa)
4861,AFG,Afghanistan
4941,BTN,Bhutan
5021,CMR,Cameroon
5101,TCD,Chad
5181,COL,Colombia
5261,CRI,Costa Rica
5341,CAF,Central African Republic
5421,CUB,Cuba
5501,CPV,Cabo Verde
5581,CYP,Cyprus
5661,DJI,Djibouti
5741,DOM,Dominican Republic
5821,EGY,Egypt
5901,GNQ,Equatorial Guinea
5981,ERI,Eritrea
6061,SLV,El Salvador
6141,ETH,Ethiopia
6221,FJI,Fiji
6301,GMB,"Gambia, The"
6362,GAB,Gabon
6442,GEO,Georgia
6522,GHA,Ghana
6602,GRC,Greece
6682,GTM,Guatemala
6762,GIN,Guinea
6842,GUY,Guyana
6922,HTI,Haiti
7002,HND,Honduras
7082,HRV,Croatia
7162,ISL,Iceland
7242,CIV,Cote d'Ivoire
7322,IRQ,Iraq
7402,JAM,Jamaica
7482,JOR,Jordan
7562,KEN,Kenya
7642,KGZ,Kyrgyzstan
7722,KWT,Kuwait
7802,KAZ,Kazakhstan
7882,LBN,Lebanon
7962,BLR,Belarus
8042,LBR,Liberia
8122,MDG,Madagascar
8202,MNG,Mongolia
8282,MKD,North Macedonia
8362,MAR,Morocco
8442,MUS,Mauritius
8522,MRT,Mauritania
8602,MLT,Malta
8682,OMN,Oman
8762,MDV,Maldives
8842,NER,Niger
8922,AND,Andorra
9002,MNE,Montenegro
9082,NGA,Nigeria
9162,NPL,Nepal
9242,SUR,Suriname
9322,NIC,Nicaragua
9402,PRY,Paraguay
9482,PER,Peru
9562,PAK,Pakistan
9642,PAN,Panama
9722,PNG,Papua New Guinea
9802,QAT,Qatar
9882,ROU,Romania
9962,MDA,Moldova
10042,PHL,Philippines
10122,RWA,Rwanda
10202,SAU,Saudi Arabia
10282,SYC,Seychelles
10362,SEN,Senegal
10442,SVN,Slovenia
10522,SOM,Somalia
10602,LCA,Saint Lucia
10682,SDN,Sudan
10762,TTO,Trinidad and Tobago
10842,THA,Thailand
10922,TGO,Togo
11002,TUN,Tunisia
11082,TZA,Tanzania
11162,UGA,Uganda
11242,UKR,Ukraine
11322,BFA,Burkina Faso
11402,URY,Uruguay
11482,UZB,Uzbekistan
11562,VCT,Saint Vincent and the Grenadines
11642,VEN,Venezuela
11722,VNM,Vietnam
11802,ZMB,Zambia
11882,ZWE,Zimbabwe
11962,IDN,Indonesia
12042,ARE,United Arab Emirates
12122,TLS,East Timor
12183,SMR,San Marino
12263,SRB,Serbia
